date,forecast_enrolments
2026-01-01,39286.478674885104
2026-01-02,31421.318015236255
2026-01-03,30702.094933582583
2026-01-04,30636.32617645633
2026-01-05,30630.31200710572
2026-01-06,30629.7620463864
2026-01-07,30629.711755685363
2026-01-08,30629.70715689399
2026-01-09,30629.706736361335
2026-01-10,30629.706697906076
2026-01-11,30629.706694389566
2026-01-12,30629.706694068
2026-01-13,30629.706694038596
2026-01-14,30629.706694035907
2026-01-15,30629.70669403566
2026-01-16,30629.706694035638
2026-01-17,30629.706694035634
2026-01-18,30629.706694035634
2026-01-19,30629.706694035634
2026-01-20,30629.706694035634
2026-01-21,30629.706694035634
2026-01-22,30629.706694035634
2026-01-23,30629.706694035634
2026-01-24,30629.706694035634
2026-01-25,30629.706694035634
2026-01-26,30629.706694035634
2026-01-27,30629.706694035634
2026-01-28,30629.706694035634
2026-01-29,30629.706694035634
2026-01-30,30629.706694035634
